Total Fwd Packet,Total Bwd packets,Flow Bytes/s,Bwd Packets/s,FWD Init Win Bytes,Bwd Init Win Bytes,Flow Duration,Flow IAT Min,Fwd IAT Min,Fwd IAT Total,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Packet Length Max,Fwd Seg Size Min,PSH Flag Count,Down/Up Ratio,Fwd Header Length,Label
2,0,4000000.0,0.0,424,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,4000000.0,0.0,360,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
3,0,71.66460963,0.0,351,-1,251170.0,4,4,251170,0,0.0,0,18.0,0.0,6,0.0,0,0.0,6,20,0,0,60.0,BENIGN
2,0,244897.9592,0.0,360,-1,49.0,49,49,49,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,0.0,16129.03226,378,558,62.0,62,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
2,1,102857.1429,5714.285714,360,255,175.0,71,175,175,0,0.0,0,12.0,6.0,6,0.0,6,0.0,6,20,0,0,40.0,BENIGN
1,1,0.0,27027.02703,340,586,37.0,37,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
2,0,4000000.0,0.0,40929,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,4000000.0,0.0,40929,-1,3.0,3,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,125000.0,10416.66667,16384,256,96.0,96,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
2,0,12000000.0,0.0,5574,-1,1.0,1,1,1,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,617000000.0,0.0,4737,-1,1.0,0,0,0,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,250000.0,0.0,4737,-1,48.0,48,48,48,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,12000000.0,0.0,4737,-1,1.0,1,1,1,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
2,0,12.00494604,0.0,4737,-1,999588.0,999588,999588,999588,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0,BENIGN
1,1,160000.0,13333.33333,4737,63668,75.0,75,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,375000.0,31250.0,4737,64189,32.0,32,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
2,2,3487.09079,27.89672632,-1,-1,71693.0,3,47,47,3,0.0,3,74.0,176.0,37,0.0,88,0.0,88,20,0,1,40.0,BENIGN
2,2,4511.179163,32.92831506,-1,-1,60738.0,2,2,2,4,0.0,4,74.0,200.0,37,0.0,100,0.0,100,20,0,1,40.0,BENIGN
20,25,4881.605224,198.1170951,29200,227,126188.0,1,1,126117,1,16545.2078,126048,176.0,440.0,0,12.68069399,0,16.1606518,52,32,1,1,656.0,BENIGN
15,6,2486192.678,749.7188554,29200,362,8003.0,1,2,8003,1,2974.753318,6663,19897.0,0.0,0,1136.570208,0,0.0,2896,32,1,0,496.0,BENIGN
2,0,617000000.0,0.0,229,-1,1.0,1,1,1,0,0.0,0,617.0,0.0,0,436.284884,0,0.0,617,32,0,0,64.0,BENIGN
1,2,0.0,40000.0,229,227,50.0,2,0,0,48,0.0,48,0.0,0.0,0,0.0,0,0.0,0,32,0,2,32.0,BENIGN
3,1,106666.6667,13333.33333,302,302,75.0,3,3,75,0,0.0,0,4.0,4.0,0,2.309401077,4,0.0,4,32,0,0,96.0,BENIGN
4,0,221153.8462,0.0,306,-1,208.0,4,4,208,0,0.0,0,46.0,0.0,0,23.0,0,0.0,46,32,0,0,128.0,BENIGN
3,1,11.67306091,1.945510152,1444,0,514004.0,2,2,514004,0,0.0,0,0.0,6.0,0,0.0,6,0.0,6,32,0,0,96.0,BENIGN
5,3,29.08653318,0.049891138,8192,946,60130920.0,28,29,60100000,1750,15577.56239,25530,216.0,1533.0,0,86.57482313,0,879.8869246,1527,20,1,0,112.0,BENIGN
5,3,30.46685871,0.049891144,8192,946,60130912.0,35,35,60100000,2067,15464.4253,26004,213.0,1619.0,0,85.23379611,0,929.5387745,1613,20,1,0,112.0,BENIGN
5,1,46.45831098,0.256675751,258,360,3895966.0,4,4,3895966,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0,BENIGN
5,1,46.46694608,0.256723459,258,360,3895242.0,3,3,3895242,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0,BENIGN
5,1,46.45423308,0.256653221,257,424,3896308.0,3,3,3896308,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0,BENIGN
5,1,46.46921273,0.256735982,255,360,3895052.0,3,3,3895052,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0,BENIGN
5,1,46.45240899,0.256643144,255,360,3896461.0,49,49,3896461,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0,BENIGN
8,4,26.56293882,0.128946305,-1,-1,31020664.0,1,1,31000000,3,17900000.0,31000000,372.0,452.0,41,5.879747322,69,50.80682369,157,20,0,0,184.0,BENIGN
4,2,5781.313457,23.88972503,-1,-1,83718.0,1,1,27440,48,0.0,48,184.0,300.0,46,0.0,150,0.0,150,20,0,0,80.0,BENIGN
29,24,1154.614263,2.241606724,8192,2050,10706606.0,0,0,10700000,1,1637050.93,10700000,8142.0,4220.0,0,658.4197888,0,153.2748786,3072,20,1,0,604.0,BENIGN
6,4,80.27658491,0.066481644,8192,946,60166984.0,23,23,60200000,207,49181.27685,86807,237.0,4593.0,0,85.03117076,0,1417.910758,2920,20,1,0,132.0,BENIGN
2,2,6992.133849,83.23968868,-1,-1,24027.0,4,4,4,4,0.0,4,68.0,100.0,34,0.0,50,0.0,50,32,0,1,64.0,BENIGN
3,3,17.47900335,2.913167225,8192,0,1029807.0,524,513339,1028984,513380,1784.030409,1029283,0.0,18.0,0,0.0,6,0.0,6,28,1,1,92.0,BENIGN
2,1,0.0,0.3355877,437,63,2979847.0,15056,2979847,2979847,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0,BENIGN
1,1,423.8036376,35.3169698,274,1024,28315.0,28315,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
1,1,421.5555399,35.12962833,274,1024,28466.0,28466,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0,BENIGN
14,12,19.99462026,0.118779922,428,407,101027175.0,1,1,101000000,1,20300000.0,101000000,1029.0,991.0,0,150.0403792,0,132.1083979,460,32,0,0,448.0,BENIGN
2,2,824242.4242,6060.606061,-1,-1,330.0,1,1,1,2,0.0,2,74.0,198.0,37,0.0,99,0.0,99,20,0,1,40.0,BENIGN
2,2,814479.638,9049.773756,-1,-1,221.0,3,47,47,3,0.0,3,74.0,106.0,37,0.0,53,0.0,53,20,0,1,40.0,BENIGN
2,2,1754966.887,6622.516556,-1,-1,302.0,2,2,2,48,0.0,48,70.0,460.0,35,0.0,230,0.0,230,32,0,1,64.0,BENIGN
2,2,1872791.519,7067.137809,-1,-1,283.0,4,4,4,4,0.0,4,70.0,460.0,35,0.0,230,0.0,230,32,0,1,64.0,BENIGN
2,2,2240963.855,12048.19277,-1,-1,166.0,2,4,4,2,0.0,2,70.0,302.0,35,0.0,151,0.0,151,32,0,1,64.0,BENIGN
2,2,1345454.545,7272.727273,-1,-1,275.0,3,4,4,3,0.0,3,80.0,290.0,40,0.0,145,0.0,145,20,0,1,40.0,BENIGN
2,2,1526315.789,7518.796992,-1,-1,266.0,1,1,1,2,0.0,2,80.0,326.0,40,0.0,163,0.0,163,20,0,1,40.0,BENIGN
2,2,2548.195192,19.60150148,-1,-1,102033.0,1,1,1,11,0.0,11,64.0,196.0,32,0.0,98,0.0,98,20,0,1,40.0,BENIGN
2,2,5208.637009,38.87042544,-1,-1,51453.0,3,3,3,3,0.0,3,64.0,204.0,32,0.0,102,0.0,102,20,0,1,40.0,BENIGN
2,2,278947.3684,1754.385965,-1,-1,1140.0,4,12,12,4,0.0,4,72.0,246.0,36,0.0,123,0.0,123,32,0,1,64.0,BENIGN
2,2,1365187.713,6825.938567,-1,-1,293.0,3,3,3,3,0.0,3,72.0,328.0,36,0.0,164,0.0,164,32,0,1,64.0,BENIGN
41,42,7210.057198,31.48496593,29200,243,1333970.0,1,1,1333970,1,23528.31491,382495,2664.0,6954.0,0,109.864573,0,320.4037958,976,32,1,1,1328.0,BENIGN
1,1,0.0,5347.593583,290,243,187.0,187,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
41,42,7009.562715,31.4464467,29200,243,1335604.0,0,1,1335604,1,21451.18193,380063,2728.0,6634.0,0,110.1299454,0,319.1214275,976,32,1,1,1328.0,BENIGN
1,1,0.0,9009.009009,290,243,111.0,111,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0,BENIGN
47,60,767898.8748,418.5647415,29200,61,143347.0,1,1,143347,1,6167.670541,120283,1325.0,108751.0,0,110.2697559,0,822.0897409,2896,20,1,1,1200.0,BENIGN
46,58,774918.5192,403.0604799,29200,61,143899.0,1,2,143899,2,6287.286944,120525,1325.0,110185.0,0,111.4072847,0,942.9987732,4344,20,1,1,1168.0,BENIGN
45,58,771894.3936,406.717857,29200,61,142605.0,2,17,142557,2,6223.072915,119443,1325.0,108751.0,0,112.5805884,0,973.725897,4344,20,1,1,1136.0,BENIGN
46,53,711415.5187,371.9324346,29200,61,142499.0,1,4,142473,2,6510.145009,118650,1313.0,100063.0,0,111.4687214,0,961.4692781,4344,20,1,1,1192.0,BENIGN
27,31,2498321.303,1300.990431,0,61,23828.0,0,1,23778,1,3408.112017,23755,162.0,59368.0,6,0.0,0,783.0897503,2896,20,0,1,540.0,BENIGN
23,28,387891.5106,235.1162986,29200,61,119090.0,2,48,119090,2,8188.878934,95911,1169.0,45025.0,0,156.1373673,0,902.027366,2896,32,1,1,744.0,BENIGN
26,31,2496707.353,1300.281028,0,61,23841.0,1,2,23841,1,3407.877279,23731,156.0,59368.0,6,0.0,0,867.7613864,4344,20,0,1,520.0,BENIGN
47,63,509322.3873,316.5240634,29200,61,199037.0,0,0,199037,1,9151.860339,175945,1325.0,100049.0,0,110.2697559,0,717.6696226,2896,20,1,1,1200.0,BENIGN
46,60,678771.0865,419.8064692,29200,61,142923.0,0,1,142923,1,6174.904003,119510,1307.0,95705.0,0,111.499193,0,684.9206633,2896,20,1,1,1204.0,BENIGN
23,28,100147.7171,62.66786034,29200,61,446800.0,1,49,446800,1,56601.13305,423469,1169.0,43577.0,0,156.1373673,0,951.6832282,2896,32,1,1,744.0,BENIGN
47,55,704443.3948,387.7307879,29200,61,141851.0,0,2,141851,1,6392.140357,118810,1325.0,98601.0,0,110.2697559,0,917.957661,4344,20,1,1,1200.0,BENIGN
51,60,767086.7268,412.7228703,29200,61,145376.0,1,1,145375,1,6298.043671,121913,1331.0,110185.0,0,106.0175938,0,874.1511193,4344,20,1,1,1316.0,BENIGN
47,56,739699.3786,391.8714662,29200,61,142904.0,1,48,142904,1,6363.229232,119777,1313.0,104393.0,0,110.3290344,0,898.8648958,4344,20,1,1,1224.0,BENIGN
50,59,741881.1575,414.0118449,29200,61,142508.0,1,1,142508,1,6192.453206,119506,1331.0,104393.0,0,107.0277267,0,804.7193749,2896,20,1,1,1284.0,BENIGN
48,59,782149.3957,413.8579275,29200,61,142561.0,0,1,142561,1,6177.081109,119649,1319.0,110185.0,0,109.1949242,0,889.0918715,4344,20,1,1,1244.0,BENIGN
52,60,783220.614,421.3808651,29200,61,142389.0,1,1,142389,2,6109.045559,119083,1337.0,110185.0,0,105.010053,0,832.505536,2896,20,1,1,1336.0,BENIGN
45,58,739036.3967,407.2947901,29200,61,142403.0,1,1,142389,1,6235.578046,119460,1319.0,103922.0,0,112.6125341,0,912.9122728,4344,20,1,1,1148.0,BENIGN
45,55,743942.1771,387.0813363,29200,61,142089.0,1,1,142055,2,6386.462883,119063,1313.0,104393.0,0,112.6443092,0,955.3575328,4344,20,1,1,1160.0,BENIGN
49,58,743979.5071,408.1690101,29200,61,142098.0,1,1,142062,1,6221.458887,118959,1325.0,104393.0,0,108.0950506,0,822.5761859,2896,20,1,1,1264.0,BENIGN
21,26,347105.0019,201.6879732,29200,61,128912.0,1,2,128912,1,9592.461541,105920,1169.0,43577.0,0,162.8920911,0,968.0996842,2896,32,1,1,680.0,BENIGN
50,61,778703.3481,425.9330377,29200,61,143215.0,1,1,143148,1,6095.643326,120300,1337.0,110185.0,0,107.0006313,0,858.3705793,4344,20,1,1,1272.0,BENIGN
48,58,576470.6515,311.9604563,29200,61,185921.0,1,2,185921,1,8352.611485,162838,1337.0,105841.0,0,109.1083766,0,956.8748071,4344,20,1,1,1208.0,BENIGN
29,50,716306.651,381.1033705,29200,61,131198.0,0,18,131198,1,6334.053759,100738,1169.0,92809.0,0,139.9780859,0,921.5378383,4344,32,1,1,936.0,BENIGN
48,64,539984.8732,340.8860908,29200,61,187746.0,0,1,187746,1,8067.49879,164235,1331.0,100049.0,0,109.1373797,0,739.1078973,4344,20,1,1,1220.0,BENIGN
47,59,537935.792,313.0803927,29200,61,188450.0,1,1,188450,1,8495.447936,165253,1325.0,100049.0,0,110.2697559,0,808.7324819,2896,20,1,1,1200.0,BENIGN
49,65,346776.4462,216.1450366,29200,61,300724.0,0,1,300724,1,17135.83886,276439,1325.0,102959.0,0,108.0950506,0,751.2528389,2896,20,1,1,1264.0,BENIGN
49,60,547829.8203,306.6669393,29200,61,195652.0,1,1,195652,1,9048.251849,172455,1343.0,105841.0,0,108.0109791,0,842.2550138,2896,20,1,1,1228.0,BENIGN
51,58,738477.2269,405.1043144,29200,61,143173.0,1,1,143123,1,6287.378068,120199,1337.0,104393.0,0,105.9913796,0,822.5761859,2896,20,1,1,1304.0,BENIGN
47,57,771121.1365,399.3050691,29200,61,142748.0,1,1,142714,1,6324.403523,119745,1325.0,108751.0,0,110.2697559,0,909.4137492,4344,20,1,1,1200.0,BENIGN
47,57,722860.0555,400.7452455,29200,61,142235.0,2,48,142113,2,6271.476138,119085,1319.0,101497.0,0,110.2994746,0,861.2578942,4344,20,1,1,1212.0,BENIGN
42,51,635582.613,334.2136477,29200,61,152597.0,2,48,152597,2,6666.824301,119066,1283.0,95705.0,0,116.5816373,0,968.15082,4344,20,1,1,1124.0,BENIGN
47,58,743158.7974,407.695606,29200,61,142263.0,0,2,142263,1,6249.868422,119294,1331.0,104393.0,0,110.239878,0,866.1409487,4344,20,1,1,1188.0,BENIGN
49,57,741995.2554,400.0617639,29200,61,142478.0,2,48,142418,2,6318.395244,119519,1325.0,104393.0,0,108.0950506,0,839.483346,2896,20,1,1,1264.0,BENIGN
29,55,795506.1913,438.5370404,29200,61,125417.0,0,89,125417,1,6008.928729,99847,1169.0,98601.0,0,139.9780859,0,874.6373898,4344,32,1,1,936.0,BENIGN
43,59,568724.756,313.1451985,29200,61,188411.0,0,1,188411,1,8450.637267,165211,1313.0,105841.0,0,115.1109917,0,1014.181856,4344,20,1,1,1096.0,BENIGN
44,55,670726.8047,387.9112741,29200,61,141785.0,1,1,141785,1,6402.558325,118889,1313.0,93786.0,0,113.8577127,0,792.8637593,2896,20,1,1,1128.0,BENIGN
78,106,1400686.94,683.0733144,29200,61,155181.0,0,3,155155,2,4736.887828,131946,1457.0,215903.0,0,86.05819438,0,908.0408088,4344,20,1,1,1928.0,BENIGN
47,56,504483.7917,278.6818349,29200,61,200946.0,1,1,200946,1,9923.359922,177806,1325.0,100049.0,0,110.2697559,0,867.873237,2896,20,1,1,1200.0,BENIGN
45,55,742765.1829,386.5128111,29200,61,142298.0,1,1,142148,2,6376.940341,119347,1301.0,104393.0,0,112.7073488,0,955.3575328,4344,20,1,1,1184.0,BENIGN
44,58,544343.4708,294.6241257,29200,61,196861.0,1,1,196861,1,9233.245779,173811,1319.0,105841.0,0,113.8247303,0,917.6278304,4344,20,1,1,1116.0,BENIGN
45,56,514152.0919,284.0563243,29200,61,197144.0,1,48,197144,1,9570.501587,174147,1313.0,100049.0,0,112.6443092,0,910.740214,4344,20,1,1,1160.0,BENIGN
53,61,784138.3674,428.8827955,29200,61,142230.0,1,1,142230,1,6092.427526,119255,1343.0,110185.0,0,104.0306803,0,816.6455278,2896,20,1,1,1356.0,BENIGN
46,59,774711.302,409.9442754,29200,61,143922.0,1,1,143819,1,6177.619366,120741,1313.0,110185.0,0,111.4687214,0,928.8619348,4344,20,1,1,1192.0,BENIGN
47,59,771125.3546,413.2955063,29200,61,142755.0,0,1,142725,1,6191.082532,119765,1331.0,108751.0,0,110.239878,0,880.4438798,4344,20,1,1,1188.0,BENIGN
31,50,775178.0427,400.096023,29200,61,124970.0,2,48,124970,2,6257.994136,100070,1169.0,95705.0,0,135.6058488,0,1026.790884,4344,32,1,1,1000.0,BENIGN
47,54,733789.7648,379.9686174,29200,61,142117.0,0,2,142117,2,6480.936751,119075,1325.0,102959.0,0,110.2697559,0,920.1505446,4344,20,1,1,1200.0,BENIGN
45,54,733111.1486,379.682754,29200,61,142224.0,1,1,142188,1,6470.87376,119220,1307.0,102959.0,0,112.6759141,0,962.183938,4344,20,1,1,1172.0,BENIGN
48,57,738336.034,398.1114153,29200,61,143176.0,1,48,143176,1,6321.378063,119920,1319.0,104393.0,0,109.1949242,0,839.483346,2896,20,1,1,1244.0,BENIGN
47,65,782637.992,456.2299961,29200,61,142472.0,0,0,142471,2,5882.643021,119322,1319.0,110185.0,0,110.2994746,0,827.9840207,4344,20,1,1,1212.0,BENIGN
47,59,577132.4864,317.7389909,29200,61,185687.0,1,1,185687,1,8220.015641,162498,1325.0,105841.0,0,110.2697559,0,940.1938958,4344,20,1,1,1200.0,BENIGN
42,56,771089.9079,392.3052135,29200,61,142746.0,1,42,142728,2,6350.468301,119798,1319.0,108751.0,0,116.3707405,0,1075.138697,4344,20,1,1,1052.0,BENIGN
46,58,576370.7361,311.9587784,29200,61,185922.0,1,1,185922,1,8310.38286,162870,1319.0,105841.0,0,111.4380853,0,917.6278304,4344,20,1,1,1180.0,BENIGN
49,58,767427.7547,404.3643462,29200,61,143435.0,2,2,143297,2,6301.928689,120520,1325.0,108751.0,0,108.0950506,0,894.59136,2896,20,1,1,1264.0,BENIGN
