Total Fwd Packet,Total Bwd packets,Flow Bytes/s,Bwd Packets/s,FWD Init Win Bytes,Bwd Init Win Bytes,Flow Duration,Flow IAT Min,Fwd IAT Min,Fwd IAT Total,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Packet Length Max,Fwd Seg Size Min,PSH Flag Count,Down/Up Ratio,Fwd Header Length
2,0,3096866.5885,0.0,35095,-1,4.0,4.1927,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
4,0,9744777.0336,0.0,65,-1,4.0,0.8516,1,4,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0
1,1,0.0,18518.51852,59,439,54.0,60.8138,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
3,0,982656.5145,0.0,64,-1,42.0,3.2852,3,42,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0
2,0,9362779.2877,0.0,60,-1,4.0,4.3004,4,4,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
1,0,13013713.5246,0.0,60,-1,3.0,2.5955,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
2,0,11877900.7858,0.0,62,-1,3.0,2.696,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
1,1,57270.5822,1356.852103,62,0,737.0,165.8191,737,737,0,0.0,0,37.0,6.0,6,17.67766953,6,0.0,31,20,0,0,40.0
1,0,12041334.7048,0.0,62,-1,3.0,2.431,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
3,0,13701261.656,0.0,60,-1,3.0,3.1037,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
3,0,12221293.7062,0.0,62,-1,3.0,2.7983,3,3,0,0.0,0,37.0,0.0,6,17.67766953,0,0.0,31,20,0,0,40.0
4,0,154442.7812,0.0,62,-1,276.0,1.759,2,276,0,0.0,0,43.0,0.0,6,14.43375673,0,0.0,31,20,0,0,60.0
2,0,3982702.2933,0.0,40905,-1,3.0,2.9417,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,0,4270578.4253,0.0,40905,-1,3.0,3.8208,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,0,11617221.3489,0.0,5114,-1,1.0,1.0346,1,1,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,1,118819.0345,9523.809524,1024,274,105.0,112.7185,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,174918.1665,15151.51515,1024,274,66.0,64.1339,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,169161.3603,14705.88235,1024,320,68.0,75.0697,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,0,254635.2738,0.0,23,-1,48.0,54.1011,48,48,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
3,0,4242845.5469,0.0,360,-1,3.0,3.0007,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,0,3923334.2698,0.0,385,-1,3.0,2.7985,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,1,735361.051,62500.0,351,258,16.0,16.6933,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,196526.017,15873.01587,360,255,63.0,68.6897,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,705506.4793,58823.52941,360,255,17.0,17.8941,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,100878.0537,8130.081301,360,255,123.0,118.2157,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,0,2756195.2749,0.0,360,-1,4.0,4.2847,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
3,0,2844098.9265,0.0,360,-1,4.0,3.9105,4,4,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
3,0,244143.3469,0.0,351,-1,49.0,56.2979,49,49,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
3,0,4090364.4315,0.0,377,-1,3.0,3.0191,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,1,0.0,21739.13043,340,229,46.0,38.991,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
2,0,4015968.8427,0.0,424,-1,3.0,3.2453,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
3,0,4121310.9466,0.0,360,-1,3.0,3.0895,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,0,67.1974,0.0,351,-1,251170.0,3.9089,4,251170,0,0.0,0,18.0,0.0,6,0.0,0,0.0,6,20,0,0,60.0
1,0,252322.9259,0.0,360,-1,49.0,48.8394,49,49,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,1,0.0,16129.03226,378,558,62.0,54.0758,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
2,1,101093.9577,5714.285714,360,255,175.0,64.5781,175,175,0,0.0,0,12.0,6.0,6,0.0,6,0.0,6,20,0,0,40.0
1,1,0.0,27027.02703,340,586,37.0,34.7476,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
2,0,4177755.7117,0.0,40929,-1,3.0,3.2186,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
3,0,4343904.8228,0.0,40929,-1,3.0,3.1823,3,3,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,1,125923.6534,10416.66667,16384,256,96.0,83.7229,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
2,0,11470255.5677,0.0,5574,-1,1.0,0.9797,1,1,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,0,616819663.2274,0.0,4737,-1,1.0,0.0,0,0,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,0,239578.1554,0.0,4737,-1,48.0,52.1013,48,48,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
3,0,12429659.9917,0.0,4737,-1,1.0,0.7505,1,1,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
1,0,11.9746,0.0,4737,-1,999588.0,858632.9905,999588,999588,0,0.0,0,12.0,0.0,6,0.0,0,0.0,6,20,0,0,40.0
2,1,152576.2988,13333.33333,4737,63668,75.0,69.9769,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
2,1,378739.2458,31250.0,4737,64189,32.0,24.1438,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,2,3372.8231,27.89672632,-1,-1,71693.0,3.3873,47,47,3,0.0,3,74.0,176.0,37,0.0,88,0.0,88,20,0,1,40.0
1,2,4214.5557,32.92831506,-1,-1,60738.0,2.0534,2,2,4,0.0,4,74.0,200.0,37,0.0,100,0.0,100,20,0,1,40.0
21,25,5066.9298,198.1170951,29200,227,126188.0,1.0708,1,126117,1,16545.2078,126048,176.0,440.0,0,12.68069399,0,16.1606518,52,32,1,1,656.0
15,6,2523315.411,749.7188554,29200,362,8003.0,0.939,2,8003,1,2974.753318,6663,19897.0,0.0,0,1136.570208,0,0.0,2896,32,1,0,496.0
2,0,602526717.0353,0.0,229,-1,1.0,1.0277,1,1,0,0.0,0,617.0,0.0,0,436.284884,0,0.0,617,32,0,0,64.0
2,2,0.0,40000.0,229,227,50.0,2.0521,0,0,48,0.0,48,0.0,0.0,0,0.0,0,0.0,0,32,0,2,32.0
2,1,102684.0684,13333.33333,302,302,75.0,2.8882,3,75,0,0.0,0,4.0,4.0,0,2.309401077,4,0.0,4,32,0,0,96.0
4,0,216347.2643,0.0,306,-1,208.0,4.42,4,208,0,0.0,0,46.0,0.0,0,23.0,0,0.0,46,32,0,0,128.0
2,1,11.892,1.945510152,1444,0,514004.0,2.0944,2,514004,0,0.0,0,0.0,6.0,0,0.0,6,0.0,6,32,0,0,96.0
6,3,30.3609,0.049891138,8192,946,60130920.0,28.5926,29,60100000,1750,15577.56239,25530,216.0,1533.0,0,86.57482313,0,879.8869246,1527,20,1,0,112.0
5,3,31.0624,0.049891144,8192,946,60130912.0,34.1152,35,60100000,2067,15464.4253,26004,213.0,1619.0,0,85.23379611,0,929.5387745,1613,20,1,0,112.0
5,1,45.1483,0.256675751,258,360,3895966.0,3.7159,4,3895966,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0
4,1,45.9155,0.256723459,258,360,3895242.0,3.0133,3,3895242,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0
5,1,44.9554,0.256653221,257,424,3896308.0,3.1311,3,3896308,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0
5,1,45.6971,0.256735982,255,360,3895052.0,2.9791,3,3895052,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0
5,1,45.8564,0.256643144,255,360,3896461.0,56.1354,49,3896461,0,0.0,0,135.0,46.0,6,20.1246118,46,0.0,46,20,0,0,100.0
8,4,27.1158,0.128946305,-1,-1,31020664.0,0.9623,1,31000000,3,17900000.0,31000000,372.0,452.0,41,5.879747322,69,50.80682369,157,20,0,0,184.0
5,2,5581.854,23.88972503,-1,-1,83718.0,1.0728,1,27440,48,0.0,48,184.0,300.0,46,0.0,150,0.0,150,20,0,0,80.0
29,24,1209.7364,2.241606724,8192,2050,10706606.0,0.0,0,10700000,1,1637050.93,10700000,8142.0,4220.0,0,658.4197888,0,153.2748786,3072,20,1,0,604.0
5,4,80.1763,0.066481644,8192,946,60166984.0,21.6169,23,60200000,207,49181.27685,86807,237.0,4593.0,0,85.03117076,0,1417.910758,2920,20,1,0,132.0
2,2,6693.6021,83.23968868,-1,-1,24027.0,3.4335,4,4,4,0.0,4,68.0,100.0,34,0.0,50,0.0,50,32,0,1,64.0
4,3,17.8186,2.913167225,8192,0,1029807.0,497.0116,513339,1028984,513380,1784.030409,1029283,0.0,18.0,0,0.0,6,0.0,6,28,1,1,92.0
2,1,0.0,0.3355877,437,63,2979847.0,16981.0044,2979847,2979847,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,0,64.0
2,1,414.0544,35.3169698,274,1024,28315.0,25269.1002,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
1,1,451.4125,35.12962833,274,1024,28466.0,32703.9518,0,0,0,0.0,0,6.0,6.0,6,0.0,6,0.0,6,20,0,1,20.0
14,12,19.6821,0.118779922,428,407,101027175.0,0.9611,1,101000000,1,20300000.0,101000000,1029.0,991.0,0,150.0403792,0,132.1083979,460,32,0,0,448.0
2,2,805528.8438,6060.606061,-1,-1,330.0,0.8862,1,1,2,0.0,2,74.0,198.0,37,0.0,99,0.0,99,20,0,1,40.0
1,2,853603.1991,9049.773756,-1,-1,221.0,2.9801,47,47,3,0.0,3,74.0,106.0,37,0.0,53,0.0,53,20,0,1,40.0
1,2,1799180.541,6622.516556,-1,-1,302.0,1.973,2,2,48,0.0,48,70.0,460.0,35,0.0,230,0.0,230,32,0,1,64.0
1,2,1943435.5044,7067.137809,-1,-1,283.0,4.0301,4,4,4,0.0,4,70.0,460.0,35,0.0,230,0.0,230,32,0,1,64.0
2,2,2177871.6863,12048.19277,-1,-1,166.0,1.7217,4,4,2,0.0,2,70.0,302.0,35,0.0,151,0.0,151,32,0,1,64.0
2,2,1360249.0693,7272.727273,-1,-1,275.0,2.9745,4,4,3,0.0,3,80.0,290.0,40,0.0,145,0.0,145,20,0,1,40.0
2,2,1420512.7872,7518.796992,-1,-1,266.0,0.8487,1,1,2,0.0,2,80.0,326.0,40,0.0,163,0.0,163,20,0,1,40.0
3,2,2303.5115,19.60150148,-1,-1,102033.0,0.9542,1,1,11,0.0,11,64.0,196.0,32,0.0,98,0.0,98,20,0,1,40.0
1,2,5054.7435,38.87042544,-1,-1,51453.0,2.7782,3,3,3,0.0,3,64.0,204.0,32,0.0,102,0.0,102,20,0,1,40.0
2,2,279605.2616,1754.385965,-1,-1,1140.0,3.6554,12,12,4,0.0,4,72.0,246.0,36,0.0,123,0.0,123,32,0,1,64.0
3,2,1529024.0464,6825.938567,-1,-1,293.0,3.2251,3,3,3,0.0,3,72.0,328.0,36,0.0,164,0.0,164,32,0,1,64.0
40,42,7660.6037,31.48496593,29200,243,1333970.0,1.1371,1,1333970,1,23528.31491,382495,2664.0,6954.0,0,109.864573,0,320.4037958,976,32,1,1,1328.0
1,1,0.0,5347.593583,290,243,187.0,192.497,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
41,42,7316.4408,31.4464467,29200,243,1335604.0,0.0,1,1335604,1,21451.18193,380063,2728.0,6634.0,0,110.1299454,0,319.1214275,976,32,1,1,1328.0
1,1,0.0,9009.009009,290,243,111.0,109.1866,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,32,0,1,32.0
48,60,826759.7082,418.5647415,29200,61,143347.0,1.1185,1,143347,1,6167.670541,120283,1325.0,108751.0,0,110.2697559,0,822.0897409,2896,20,1,1,1200.0
47,58,755339.4683,403.0604799,29200,61,143899.0,1.0664,2,143899,2,6287.286944,120525,1325.0,110185.0,0,111.4072847,0,942.9987732,4344,20,1,1,1168.0
45,58,749719.1818,406.717857,29200,61,142605.0,2.4644,17,142557,2,6223.072915,119443,1325.0,108751.0,0,112.5805884,0,973.725897,4344,20,1,1,1136.0
47,53,747705.2865,371.9324346,29200,61,142499.0,0.8645,4,142473,2,6510.145009,118650,1313.0,100063.0,0,111.4687214,0,961.4692781,4344,20,1,1,1192.0
28,31,2428478.547,1300.990431,0,61,23828.0,0.0,1,23778,1,3408.112017,23755,162.0,59368.0,6,0.0,0,783.0897503,2896,20,0,1,540.0
22,28,421798.4196,235.1162986,29200,61,119090.0,2.1612,48,119090,2,8188.878934,95911,1169.0,45025.0,0,156.1373673,0,902.027366,2896,32,1,1,744.0
27,31,2425535.3254,1300.281028,0,61,23841.0,1.0227,2,23841,1,3407.877279,23731,156.0,59368.0,6,0.0,0,867.7613864,4344,20,0,1,520.0
47,63,531923.0602,316.5240634,29200,61,199037.0,0.0,0,199037,1,9151.860339,175945,1325.0,100049.0,0,110.2697559,0,717.6696226,2896,20,1,1,1200.0
47,60,682706.8047,419.8064692,29200,61,142923.0,0.0,1,142923,1,6174.904003,119510,1307.0,95705.0,0,111.499193,0,684.9206633,2896,20,1,1,1204.0
24,28,103546.7214,62.66786034,29200,61,446800.0,1.0188,49,446800,1,56601.13305,423469,1169.0,43577.0,0,156.1373673,0,951.6832282,2896,32,1,1,744.0
47,55,668949.4663,387.7307879,29200,61,141851.0,0.0,2,141851,1,6392.140357,118810,1325.0,98601.0,0,110.2697559,0,917.957661,4344,20,1,1,1200.0
50,60,696766.0708,412.7228703,29200,61,145376.0,1.0505,1,145375,1,6298.043671,121913,1331.0,110185.0,0,106.0175938,0,874.1511193,4344,20,1,1,1316.0
46,56,704980.2049,391.8714662,29200,61,142904.0,1.179,48,142904,1,6363.229232,119777,1313.0,104393.0,0,110.3290344,0,898.8648958,4344,20,1,1,1224.0
50,59,726899.2839,414.0118449,29200,61,142508.0,1.1896,1,142508,1,6192.453206,119506,1331.0,104393.0,0,107.0277267,0,804.7193749,2896,20,1,1,1284.0
49,59,774330.7914,413.8579275,29200,61,142561.0,0.0,1,142561,1,6177.081109,119649,1319.0,110185.0,0,109.1949242,0,889.0918715,4344,20,1,1,1244.0
53,60,764264.3624,421.3808651,29200,61,142389.0,1.06,1,142389,2,6109.045559,119083,1337.0,110185.0,0,105.010053,0,832.505536,2896,20,1,1,1336.0
44,58,660086.1118,407.2947901,29200,61,142403.0,0.9464,1,142389,1,6235.578046,119460,1319.0,103922.0,0,112.6125341,0,912.9122728,4344,20,1,1,1148.0
45,55,720183.4699,387.0813363,29200,61,142089.0,1.15,1,142055,2,6386.462883,119063,1313.0,104393.0,0,112.6443092,0,955.3575328,4344,20,1,1,1160.0
49,58,745450.8655,408.1690101,29200,61,142098.0,0.9508,1,142062,1,6221.458887,118959,1325.0,104393.0,0,108.0950506,0,822.5761859,2896,20,1,1,1264.0
20,26,342881.5734,201.6879732,29200,61,128912.0,0.8806,2,128912,1,9592.461541,105920,1169.0,43577.0,0,162.8920911,0,968.0996842,2896,32,1,1,680.0
49,61,764127.9252,425.9330377,29200,61,143215.0,1.1062,1,143148,1,6095.643326,120300,1337.0,110185.0,0,107.0006313,0,858.3705793,4344,20,1,1,1272.0
48,58,563209.2562,311.9604563,29200,61,185921.0,1.1332,2,185921,1,8352.611485,162838,1337.0,105841.0,0,109.1083766,0,956.8748071,4344,20,1,1,1208.0
30,50,718327.3563,381.1033705,29200,61,131198.0,0.0,18,131198,1,6334.053759,100738,1169.0,92809.0,0,139.9780859,0,921.5378383,4344,32,1,1,936.0
48,64,511710.9242,340.8860908,29200,61,187746.0,0.0,1,187746,1,8067.49879,164235,1331.0,100049.0,0,109.1373797,0,739.1078973,4344,20,1,1,1220.0
47,59,531338.5588,313.0803927,29200,61,188450.0,0.8969,1,188450,1,8495.447936,165253,1325.0,100049.0,0,110.2697559,0,808.7324819,2896,20,1,1,1200.0
49,65,339709.8273,216.1450366,29200,61,300724.0,0.0,1,300724,1,17135.83886,276439,1325.0,102959.0,0,108.0950506,0,751.2528389,2896,20,1,1,1264.0
49,60,513621.7436,306.6669393,29200,61,195652.0,0.8105,1,195652,1,9048.251849,172455,1343.0,105841.0,0,108.0109791,0,842.2550138,2896,20,1,1,1228.0
52,58,731775.7565,405.1043144,29200,61,143173.0,1.0917,1,143123,1,6287.378068,120199,1337.0,104393.0,0,105.9913796,0,822.5761859,2896,20,1,1,1304.0
48,57,694543.5928,399.3050691,29200,61,142748.0,1.0371,1,142714,1,6324.403523,119745,1325.0,108751.0,0,110.2697559,0,909.4137492,4344,20,1,1,1200.0
47,57,698321.4669,400.7452455,29200,61,142235.0,1.9104,48,142113,2,6271.476138,119085,1319.0,101497.0,0,110.2994746,0,861.2578942,4344,20,1,1,1212.0
42,51,646287.8597,334.2136477,29200,61,152597.0,1.9332,48,152597,2,6666.824301,119066,1283.0,95705.0,0,116.5816373,0,968.15082,4344,20,1,1,1124.0
47,58,758464.3536,407.695606,29200,61,142263.0,0.0,2,142263,1,6249.868422,119294,1331.0,104393.0,0,110.239878,0,866.1409487,4344,20,1,1,1188.0
49,57,742484.4779,400.0617639,29200,61,142478.0,2.0302,48,142418,2,6318.395244,119519,1325.0,104393.0,0,108.0950506,0,839.483346,2896,20,1,1,1264.0
28,55,804447.3444,438.5370404,29200,61,125417.0,0.0,89,125417,1,6008.928729,99847,1169.0,98601.0,0,139.9780859,0,874.6373898,4344,32,1,1,936.0
43,59,586351.2021,313.1451985,29200,61,188411.0,0.0,1,188411,1,8450.637267,165211,1313.0,105841.0,0,115.1109917,0,1014.181856,4344,20,1,1,1096.0
44,55,674235.9358,387.9112741,29200,61,141785.0,1.063,1,141785,1,6402.558325,118889,1313.0,93786.0,0,113.8577127,0,792.8637593,2896,20,1,1,1128.0
77,106,1483084.7299,683.0733144,29200,61,155181.0,0.0,3,155155,2,4736.887828,131946,1457.0,215903.0,0,86.05819438,0,908.0408088,4344,20,1,1,1928.0
47,56,450969.6056,278.6818349,29200,61,200946.0,0.8505,1,200946,1,9923.359922,177806,1325.0,100049.0,0,110.2697559,0,867.873237,2896,20,1,1,1200.0
46,55,773396.7008,386.5128111,29200,61,142298.0,1.1909,1,142148,2,6376.940341,119347,1301.0,104393.0,0,112.7073488,0,955.3575328,4344,20,1,1,1184.0
43,58,485156.2889,294.6241257,29200,61,196861.0,0.9016,1,196861,1,9233.245779,173811,1319.0,105841.0,0,113.8247303,0,917.6278304,4344,20,1,1,1116.0
44,56,498041.9444,284.0563243,29200,61,197144.0,0.9019,48,197144,1,9570.501587,174147,1313.0,100049.0,0,112.6443092,0,910.740214,4344,20,1,1,1160.0
53,61,812777.4128,428.8827955,29200,61,142230.0,0.9169,1,142230,1,6092.427526,119255,1343.0,110185.0,0,104.0306803,0,816.6455278,2896,20,1,1,1356.0
47,59,798731.8954,409.9442754,29200,61,143922.0,0.9323,1,143819,1,6177.619366,120741,1313.0,110185.0,0,111.4687214,0,928.8619348,4344,20,1,1,1192.0
46,59,733728.3643,413.2955063,29200,61,142755.0,0.0,1,142725,1,6191.082532,119765,1331.0,108751.0,0,110.239878,0,880.4438798,4344,20,1,1,1188.0
31,50,773317.5221,400.096023,29200,61,124970.0,1.9059,48,124970,2,6257.994136,100070,1169.0,95705.0,0,135.6058488,0,1026.790884,4344,32,1,1,1000.0
48,54,711949.3775,379.9686174,29200,61,142117.0,0.0,2,142117,2,6480.936751,119075,1325.0,102959.0,0,110.2697559,0,920.1505446,4344,20,1,1,1200.0
44,54,764173.3398,379.682754,29200,61,142224.0,1.0157,1,142188,1,6470.87376,119220,1307.0,102959.0,0,112.6759141,0,962.183938,4344,20,1,1,1172.0
48,57,735480.9906,398.1114153,29200,61,143176.0,0.9027,48,143176,1,6321.378063,119920,1319.0,104393.0,0,109.1949242,0,839.483346,2896,20,1,1,1244.0
47,65,757273.3938,456.2299961,29200,61,142472.0,0.0,0,142471,2,5882.643021,119322,1319.0,110185.0,0,110.2994746,0,827.9840207,4344,20,1,1,1212.0
47,59,588148.8243,317.7389909,29200,61,185687.0,1.1218,1,185687,1,8220.015641,162498,1325.0,105841.0,0,110.2697559,0,940.1938958,4344,20,1,1,1200.0
42,56,793416.2448,392.3052135,29200,61,142746.0,0.9678,42,142728,2,6350.468301,119798,1319.0,108751.0,0,116.3707405,0,1075.138697,4344,20,1,1,1052.0
46,58,570746.0667,311.9587784,29200,61,185922.0,0.9856,1,185922,1,8310.38286,162870,1319.0,105841.0,0,111.4380853,0,917.6278304,4344,20,1,1,1180.0
48,58,792497.5256,404.3643462,29200,61,143435.0,1.9205,2,143297,2,6301.928689,120520,1325.0,108751.0,0,108.0950506,0,894.59136,2896,20,1,1,1264.0
49,62,585791.4922,332.3007,29200,61,186578.0,0.0,0,186578,2,8129.75274,163447,1331.0,100049.0,0,109.1373797,0,741.7725246,2896,20,1,1,1220.0
49,60,504950.0033,315.4988826,29200,61,190175.0,0.781,48,190175,1,8428.207536,167184,1337.0,105841.0,0,108.0391519,0,883.4411243,4344,20,1,1,1240.0
43,56,831316.9147,393.7838408,29200,61,142210.0,0.9687,1,142107,1,6345.893166,119240,1313.0,110185.0,0,113.8577127,0,1007.169423,4344,20,1,1,1128.0
49,61,835931.8047,426.6838273,29200,61,142963.0,1.2907,1,142932,1,6088.863599,119994,1337.0,110185.0,0,107.0006313,0,816.6455278,2896,20,1,1,1272.0
48,61,798025.4601,426.9376671,29200,61,142878.0,0.9711,1,142795,1,6106.43445,119942,1331.0,110185.0,0,109.1373797,0,898.1593315,4344,20,1,1,1220.0
47,54,562501.0966,284.0475727,29200,61,190109.0,1.7656,2,190109,2,8963.412211,166964,1331.0,107303.0,0,110.239878,0,1095.823844,4344,20,1,1,1188.0
